decision_year,set_conversion_technologies,output_carrier,input_carrier,reference_carrier,set_nodes,revenue,capex,fixed_opex,variable_opex,input_carrier_cost,tech_co2_cost,carrier_co2_cost,profitability,values_changed
0,heat_pump,heat,electricity,heat,CH,2107.653484893322,930.1261448256168,258.3244533693291,0.0,984.8428915155702,0.0,0.0,-65.64000481719415,False
0,heat_pump,heat,electricity,heat,DE,1726.5821344491194,930.1261448256168,258.3244533693291,0.0,603.7715410716771,0.0,0.0,-65.64000481750372,False
0,heat_pump,heat,electricity,heat,IT,1349.132295353098,930.1261448256168,258.3244533693291,0.0,789.2145574596639,0.0,0.0,-628.5328603015118,False
0,natural_gas_boiler,heat,natural_gas,heat,CH,2235.980947249873,487.186345248536,233.64857560184709,0.0,1558.4577227603686,0.0,790.9592312515617,-834.2709276124401,False
0,natural_gas_boiler,heat,natural_gas,heat,DE,1831.7075288533908,487.186345248536,233.64857560184709,0.0,1477.61930706744,0.0,749.9315599851105,-1116.6782590495432,False
0,natural_gas_boiler,heat,natural_gas,heat,IT,1364.5010111764475,487.186345248536,233.64857560184709,0.0,1364.5010111764338,0.0,692.5209808903099,-1413.3559017406792,False
0,natural_gas_turbine,electricity,natural_gas,electricity,CH,5931.044413803513,786.1179105736469,354.4608670187581,211.64532429846835,5531.676809639177,0.0,2807.4748342448624,-3760.3313319713993,False
0,natural_gas_turbine,electricity,natural_gas,electricity,DE,2631.040060053669,786.1179105736469,354.4608670187581,97.2811567934479,2542.5929952995575,0.0,1290.4343644212988,-2439.84723405304,False
0,natural_gas_turbine,electricity,natural_gas,electricity,IT,2517.2266826195455,786.1179105736469,354.4608670187581,93.07297418784492,2432.6056558329255,0.0,1234.612829963602,-2383.643554957232,False
0,photovoltaics,electricity,,electricity,CH,558.3720615691548,543.5962549146192,187.43991896488768,0.4327874941656866,0.0,0.0,0.0,-173.0968998045178,False
0,photovoltaics,electricity,,electricity,DE,175.47674541552595,543.5962549146192,187.43991896488768,0.3713692552257703,0.0,0.0,0.0,-555.9307977192067,False
0,photovoltaics,electricity,,electricity,IT,689.8305754166232,543.5962549146192,187.43991896488768,0.5148605155635555,0.0,0.0,0.0,-41.7204589784472,False
0,reservoir_hydro,electricity,,electricity,CH,2351.030663397875,2527.3444444852207,745.8579801256698,70.15142879071377,0.0,0.0,0.0,-992.3231900037295,False
0,reservoir_hydro,electricity,,electricity,DE,6054.862868970176,2527.3444444852207,745.8579801256698,124.17315000722999,0.0,0.0,0.0,2657.487294352056,False
0,reservoir_hydro,electricity,,electricity,IT,3934.985893015621,2527.3444444852207,745.8579801256698,107.46540936146982,0.0,0.0,0.0,554.3180590432607,False
0,run-of-river_hydro,electricity,,electricity,CH,2450.7966907117348,2921.9083130985696,708.155058153122,86.03426748190596,0.0,0.0,0.0,-1265.3009480218627,False
0,run-of-river_hydro,electricity,,electricity,DE,5551.138435436018,2921.9083130985696,708.155058153122,159.9142580369192,0.0,0.0,0.0,1761.1608061474074,False
0,run-of-river_hydro,electricity,,electricity,IT,4016.5016004211793,2921.9083130985696,708.155058153122,142.19652075270145,0.0,0.0,0.0,244.24170841678628,False
0,wind_offshore,electricity,,electricity,CH,,,,,,,,-966.9296634884241,True
0,wind_offshore,electricity,,electricity,DE,2225.0583686818145,2397.264888566216,738.3090146155499,56.414128988472626,0.0,0.0,0.0,-966.9296634884241,False
0,wind_offshore,electricity,,electricity,IT,,,,,,,,-966.9296634884241,True
0,wind_onshore,electricity,,electricity,CH,552.9599984225466,1133.4278986084237,303.2986148501366,5.802764686642517,0.0,0.0,0.0,-889.5692797226561,False
0,wind_onshore,electricity,,electricity,DE,1374.508841910757,1133.4278986084237,303.2986148501366,18.396864400817734,0.0,0.0,0.0,-80.61453594862105,False
0,wind_onshore,electricity,,electricity,IT,1123.3154472871065,1133.4278986084237,303.2986148501366,12.209773170516451,0.0,0.0,0.0,-325.62083934197017,False
1,heat_pump,heat,electricity,heat,CH,2292.695419433524,868.6297540520345,212.8245116878343,0.0,804.9770974065199,0.0,0.0,406.2640562871353,False
1,heat_pump,heat,electricity,heat,DE,2198.170071142,868.6297540520345,212.8245116878343,0.0,642.6498706200662,0.0,0.0,474.0659347820649,False
1,heat_pump,heat,electricity,heat,IT,2532.6187957749885,868.6297540520345,212.8245116878343,0.0,650.83966323715,0.0,0.0,800.3248667979697,False
1,natural_gas_boiler,heat,natural_gas,heat,CH,2432.289421596587,485.1149979482157,232.97863025965756,0.0,1244.3582601997157,0.0,790.9592312512953,-321.1216980622971,False
1,natural_gas_boiler,heat,natural_gas,heat,DE,2332.008763833983,485.1149979482157,232.97863025965756,0.0,1179.8124282281585,0.0,749.9315599852127,-315.82885258726174,False
